sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL13_220_L0255	L0255	Amphiprion clarkii	not applicable	tail fin	male	2013-05-27	adult
APCL13_221_L0256	L0256	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_222_L0257	L0257	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_223_L0258	L0258	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_224_L0259	L0259	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_225_L0260	L0260	Amphiprion clarkii	not applicable	tail fin	male	2013-05-27	adult
APCL13_226_L0261	L0261	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_227_L0262	L0262	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_228_L0263	L0263	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_229_L0264	L0264	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_230_L0265	L0265	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_231_L0266	L0266	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_233_L0267	L0267	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_234_L0268	L0268	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_237_L0270	L0270	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_238_L0271	L0271	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_239_L0272	L0272	Amphiprion clarkii	not applicable	tail fin	male	2013-05-27	adult
APCL13_240_L0273	L0273	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_241_L0274	L0274	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_242_L0275	L0275	Amphiprion clarkii	not applicable	tail fin	male	2013-05-27	adult
APCL13_243_L0276	L0276	Amphiprion clarkii	not applicable	tail fin	male	2013-05-27	adult
APCL13_244_L0277	L0277	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_245_L0278	L0278	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_246_L0279	L0279	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_247_L0280	L0280	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_249_L0282	L0282	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_250_L0283	L0283	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-27	juvenile
APCL13_251_L0284	L0284	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_252_L0285	L0285	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_253_L0286	L0286	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_254_L0287	L0287	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_256_L0289	L0289	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_257_L0290	L0290	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_258_L0291	L0291	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_259_L0292	L0292	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_260_L0293	L0293	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_261_L0294	L0294	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_262_L0295	L0295	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_263_L0296	L0296	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_264_L0297	L0297	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_265_L0298	L0298	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_267_L0300	L0300	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_268_L0301	L0301	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_269_L0302	L0302	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_270_L0303	L0303	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_273_L0306	L0306	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_274_L0307	L0307	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_275_L0308	L0308	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_276_L0309	L0309	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_278_L0311	L0311	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_279_L0312	L0312	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_282_L0314	L0314	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_283_L0315	L0315	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_284_L0316	L0316	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_285_L0317	L0317	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_286_L0318	L0318	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_287_L0319	L0319	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_288_L0320	L0320	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_289_L0321	L0321	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_290_L0322	L0322	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_291_L0323	L0323	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_292_L0324	L0324	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_293_L0325	L0325	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_294_L0326	L0326	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_295_L0327	L0327	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_296_L0328	L0328	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_297_L0329	L0329	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_298_L0330	L0330	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_300_L0331	L0331	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_302_L0333	L0333	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_303_L0334	L0334	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_304_L0335	L0335	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_307_L0338	L0338	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_308_L0339	L0339	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_309_L0340	L0340	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_310_L0341	L0341	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_311_L0342	L0342	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_312_L0343	L0343	Amphiprion clarkii	not applicable	tail fin	female	2013-05-28	adult
APCL13_313_L0344	L0344	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_314_L0345	L0345	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_315_L0346	L0346	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_317_L0347	L0347	Amphiprion clarkii	not applicable	tail fin	male	2013-05-28	adult
APCL13_318_L0348	L0348	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-28	juvenile
APCL13_319_L0349	L0349	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_322_L0350	L0350	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_325_L0352	L0352	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_326_L0353	L0353	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_329_L0354	L0354	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_330_L0355	L0355	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_331_L0356	L0356	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_335_L0359	L0359	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_338_L0360	L0360	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_341_L0362	L0362	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_342_L0363	L0363	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_343_L0364	L0364	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_344_L0365	L0365	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_346_L0366	L0366	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_349_L0368	L0368	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_350_L0369	L0369	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_354_L0371	L0371	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_355_L0372	L0372	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_356_L0373	L0373	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_358_L0374	L0374	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_359_L0375	L0375	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_360_L0376	L0376	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_365_L0379	L0379	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_366_L0380	L0380	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_368_L0382	L0382	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_370_L0384	L0384	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_372_L0385	L0385	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_373_L0386	L0386	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_374_L0387	L0387	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
APCL13_375_L0388	L0388	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_376_L0389	L0389	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_377_L0390	L0390	Amphiprion clarkii	not applicable	tail fin	male	2013-05-29	adult
APCL13_379_L0391	L0391	Amphiprion clarkii	not applicable	tail fin	female	2013-05-29	adult
APCL13_380_L0392	L0392	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-29	juvenile
